Ocean Ruins,X,Z
160,2040,5768
161,2024,-456
162,2024,3624
163,2024,5160
164,2008,-2104
165,2008,2744
166,2008,2088
167,2008,4984
168,2008,5608
169,1992,728
170,1992,3864
171,1976,-1432
172,1960,-920
173,1960,1656
174,1960,3256
175,1944,1416
176,1928,-2472
177,1784,1752
178,1784,5784
179,1768,-136
180,1736,-488
181,1736,408
182,1720,-2216
183,1720,3272
184,1720,2024
185,1720,4264
186,1704,-2376
187,1704,1144
188,1704,3672
189,1688,-2856
190,1688,4616
191,1672,-3016
192,1672,2680
193,1672,2248
194,1672,4808
195,1656,-792
196,1656,-1128
197,1624,-1432
198,1624,120
199,1624,5144
200,1608,-1880
201,1608,808
202,1608,3896
203,1608,5496
204,1448,-2440
205,1448,-2232
206,1448,5128
207,1432,5832
208,1416,1016
209,1400,504
210,1400,5592
211,1384,-168
212,1384,4280
213,1368,-616
214,1368,4584
215,1352,-5064
216,1352,-1896
217,1352,-776
218,1352,760
219,1352,3912
220,1352,4936
221,1336,-1448
222,1336,-1096
223,1320,56
224,1304,-2792
225,1304,1976
226,1144,3032
227,1128,-1528
228,1128,-904
229,1128,3960
230,1128,4568
231,1112,-3016
232,1112,328
233,1096,-2536
234,1096,-1896
235,1080,-3448
236,1080,4840
237,1064,664
238,1048,-5080
239,1048,1064
240,1048,1288
241,1032,-1192
242,1032,-600
243,1032,2296
244,1016,5560
245,1000,5896
246,968,-2088
247,968,5176
248,808,-904
249,792,424
250,792,984
251,792,1352
252,792,5192
253,776,-2392
254,776,-296
255,776,4216
256,776,5512
257,760,-3768
258,760,-568
259,744,-2712
260,744,4600
261,728,-4984
262,728,-4440
263,728,-3464
264,728,2984
265,728,5880
266,712,-2184
267,696,-6024
268,696,-1864
269,696,-1128
270,680,-3016
271,648,-5608
272,648,-4632
273,472,-1896
274,472,-1480
275,472,4664
276,456,-4712
277,456,-3976
278,456,-2760
279,456,-872
280,440,-1256
281,440,1288
282,440,5304
283,440,5944
284,408,-4456
285,408,-3176
286,408,-600
287,408,5496
288,392,-3512
289,392,328
290,360,-2552
291,360,728
292,360,1032
293,344,-136
294,344,168
295,328,-5928
296,184,-5080
297,168,-3352
298,168,-776
299,152,-1416
300,152,1064
301,136,-4136
302,104,-2392
303,88,-1752
304,88,1400
305,72,-216
306,72,776
307,56,-3176
308,56,360
309,40,-5752
310,40,-2104
311,40,120
312,8,-2760
313,-136,-5720
314,-152,-5320
315,-152,792
316,-168,-1768
317,-168,-3192
318,-200,-2232
319,-296,-2376
320,-312,1112
321,-456,792
322,-488,1144
323,-504,-3080
324,-504,-2856
325,-504,-1912
326,-504,-2088
327,-536,-6056
328,-536,-1592
329,-568,2024
330,-600,1704
331,-600,2280
332,-776,152
333,-792,5480
334,-824,1656
335,-840,-5032
336,-840,4616
337,-840,5192
338,-904,4168
339,-920,1384
340,-936,792
341,-952,5912
342,-1128,1304
343,-1128,4952
344,-1160,-1416
345,-1160,3672
346,-1176,-4648
347,-1176,1048
348,-1176,1992
349,-1176,4616
350,-1192,5224
351,-1224,-4936
352,-1224,776
353,-1240,3928
354,-1240,5448
355,-1256,-4344
356,-1256,4328
357,-1272,5848
358,-1432,4008
359,-1432,3624
360,-1464,-5048
361,-1464,5544
362,-1496,-1480
363,-1496,2584
364,-1512,-1752
365,-1528,-2104
366,-1528,1400
367,-1528,4200
368,-1544,-4648
369,-1544,2408
370,-1544,3384
371,-1560,4632
372,-1576,5128
373,-1592,2040
374,-1592,3032
375,-1592,4872
376,-1752,-1416
377,-1752,2376
378,-1752,5896
379,-1768,4200
380,-1784,1640
381,-1800,3336
382,-1800,4968
383,-1816,-5640
384,-1832,-1272
385,-1832,2056
386,-1832,3576
387,-1848,-2136
388,-1864,-888
389,-1880,-4952
390,-1880,1448
391,-1880,5224
392,-1896,3880
393,-1896,3032
394,-1896,5448
395,-1912,-5272
396,-1912,1144
397,-1912,4616
398,-2056,1768
399,-2056,3704
400,-2072,2056
401,-2088,4216
402,-2104,-5592
403,-2104,-5096
404,-2104,-3080
405,-2104,1352
406,-2120,-3368
407,-2136,-1160
408,-2136,2632
409,-2152,2360
410,-2152,3896
411,-2152,3352
412,-2168,4824
413,-2184,-2872
414,-2184,4536
415,-2216,360
416,-2216,2984
417,-2232,-5416
418,-2376,4344
419,-2376,4520
420,-2392,-5576
421,-2424,1944
422,-2440,-5368
423,-2440,-3480
424,-2440,-1432
425,-2440,4984
426,-2456,-3016
427,-2472,-5080
428,-2472,3256
429,-2488,2296
430,-2488,3000
431,-2504,-5960
432,-2504,-1160
433,-2504,3528
434,-2504,2744
435,-2520,-3736
436,-2520,-232
437,-2536,-3992
438,-2552,-456
439,-2552,5240
440,-2696,-136
441,-2696,4840
442,-2712,3576
443,-2760,88
444,-2792,-3816
445,-2808,-5352
446,-2808,-5080
447,-2808,3896
448,-2824,-5640
449,-2824,-2776
450,-2840,-616
451,-2840,2072
452,-2840,2728
453,-2856,3384
454,-2872,-3128
455,-2872,-920
456,-3032,-584
457,-3048,3656
458,-3064,2648
459,-3096,-3096
460,-3096,40
461,-3112,-6024
462,-3160,-4024
463,-3160,3368
464,-3176,-3800
465,-3352,-600
466,-3384,-3112
467,-3416,-3384
468,-3416,-3736
469,-3416,2584
470,-3416,3208
471,-3416,3640
472,-3448,-3976
473,-3464,-6040
474,-3512,3880
475,-3688,-6008
476,-3688,-3496
477,-3688,3640
478,-3720,3384
479,-3800,-552
480,-3816,2952
481,-3992,-520
482,-3992,3240
483,-4008,-4456
484,-4024,-5336
485,-4040,-5576
486,-4056,-4648
487,-4088,-4056
488,-4104,-840
489,-4152,-6040
490,-4296,-4328
491,-4312,-4648
492,-4312,-4120
493,-4328,-5896
494,-4392,-5720
495,-4392,-5048
496,-4424,-5256
497,-4472,-1480
498,-4472,2344
499,-4472,2104
500,-4632,-5656
501,-4680,-4424
502,-4680,2264
503,-4696,-5912
504,-4696,-4680
505,-4728,-3752
506,-4760,-5288
507,-4776,-4152
508,-4792,-5048
509,-4936,-472
510,-4984,-4328
511,-4984,5304
512,-5000,5848
513,-5016,-1464
514,-5032,-3768
515,-5048,-5416
516,-5064,728
517,-5096,-4152
518,-5112,-4936
519,-5112,-1736
520,-5112,-1176
521,-5272,-1880
522,-5320,-5096
523,-5336,-1448
524,-5368,5880
525,-5368,5560
526,-5416,-2232
527,-5432,-1208
528,-5576,-5032
529,-5640,-488
530,-5672,-3496
531,-5688,-2696
532,-5688,5944
533,-5704,-888
534,-5720,-2520
535,-5720,5608
536,-5896,-3400
537,-5928,-2088
538,-5976,-2488
539,-5992,1320
540,-6040,-2808
541,-6040,-1192
