Trail Chamber,X,Z
410,-4617,-1463
411,-4727,775
412,-4727,3865
413,-4745,-2631
414,-4761,-4585
415,-4775,3529
416,-4775,4569
417,-4777,-3161
418,-4777,2311
419,-4791,2761
420,-4807,-5671
421,-4809,-4201
422,-4809,5529
423,-4823,-3607
424,-4823,-921
425,-4823,1225
426,-4823,1799
427,-4839,-5177
428,-5095,9
429,-5095,2455
430,-5111,5991
431,-5143,-4295
432,-5161,1943
433,-5177,-3783
434,-5193,3817
435,-5209,-5785
436,-5209,761
437,-5225,-425
438,-5257,4999
439,-5271,1255
440,-5287,4505
441,-5321,3049
442,-5337,-1527
443,-5337,-2455
444,-5367,-1865
445,-5369,-4649
446,-5385,-3209
447,-5399,5561
448,-5417,-1047
449,-5431,3447
450,-5449,-5239
451,-5655,5655
452,-5657,2265
453,-5671,-4105
454,-5687,3975
455,-5689,-1047
456,-5703,-361
457,-5735,-2073
458,-5735,1337
459,-5737,-2983
460,-5799,-2713
461,-5799,1881
462,-5831,-5321
463,-5831,-4599
464,-5863,3575
465,-5911,345
466,-5913,-1337
467,-5913,4681
468,-5927,4887
469,-5929,553
470,-5929,2919
471,-5945,-5929
472,-5977,-3513
