Buried Treasure,X,Z
275,3016,-1016
276,3016,-1144
277,3016,-2872
278,3016,-2920
279,3016,-5240
280,2968,4872
281,2968,-1144
282,2952,1288
283,2952,-376
284,2952,-888
285,2952,-2936
286,2952,-5176
287,2888,4936
288,2888,4824
289,2888,1240
290,2888,-2360
291,2888,-2936
292,2888,-5112
293,2840,-3064
294,2840,-5368
295,2824,4824
296,2824,4552
297,2824,-376
298,2824,-2344
299,2824,-2424
300,2824,-2488
301,2824,-2936
302,2824,-3000
303,2824,-3128
304,2776,-2936
305,2760,-504
306,2760,-2360
307,2760,-2488
308,2760,-2552
309,2712,-376
310,2712,-2360
311,2712,-2424
312,2696,-568
313,2696,-744
314,2696,-1208
315,2696,-2488
316,2632,-2728
317,2632,-4664
318,2568,-184
319,2568,-2744
320,2568,-4600
321,2520,-2488
322,2504,-120
323,2504,-2680
324,2504,-2744
325,2456,-552
326,2456,-2664
327,2456,-5736
328,2440,4680
329,2440,-5800
330,2392,-440
331,2392,-5752
332,2392,-5880
333,2376,4680
334,2312,-1080
335,2312,-1144
336,2312,-2744
337,2312,-2744
338,2312,-4728
339,2312,-5224
340,2312,-5736
341,2248,-760
342,2248,-1016
343,2248,-1960
344,2248,-5736
345,2200,-1000
346,2200,-5304
347,2184,776
348,2184,728
349,2184,600
350,2184,-1848
351,2184,-5624
352,2184,-5928
353,2136,1544
354,2136,-760
355,2136,-5688
356,2136,-5800
357,2136,-5880
358,2136,-5944
359,2120,-168
360,2120,-1768
361,2120,-2664
362,2120,-5624
363,2120,-5736
364,2072,-1784
365,2056,1352
366,2056,-4920
367,2056,-5624
368,2056,-5944
369,2008,1432
370,1992,1352
371,1992,8
372,1992,-4920
373,1928,3336
374,1928,-4856
375,1864,3080
376,1864,-1528
377,1864,-4840
378,1816,2904
379,1800,5640
380,1800,-3000
381,1800,-4856
382,1752,3464
383,1752,3400
384,1752,-5112
385,1736,2760
386,1736,-2664
387,1736,-4856
388,1688,3464
389,1688,3400
390,1688,2760
391,1688,-2616
392,1672,3352
393,1624,3592
394,1624,3528
395,1608,3400
396,1608,2952
397,1608,-4984
398,1608,-5352
399,1560,3656
400,1560,2952
401,1544,3160
402,1544,3016
403,1544,2888
404,1496,3016
405,1496,2248
406,1480,4120
407,1480,3080
408,1480,2952
409,1480,2888
410,1480,2632
411,1480,2520
412,1416,4104
413,1416,4056
414,1416,3736
415,1416,2200
416,1416,1800
417,1416,1736
418,1416,-3128
419,1368,4680
420,1368,-5368
421,1352,4808
422,1352,1800
423,1352,1752
424,1352,1672
425,1352,-3112
426,1352,-3320
427,1304,1800
428,1304,-3176
429,1288,4744
430,1288,984
431,1288,-3048
432,1288,-3384
433,1288,-4984
434,1240,3016
435,1240,-2808
436,1224,3080
437,1224,2056
438,1224,1112
439,1224,-4984
440,1224,-5096
441,1176,4248
442,1176,2952
443,1176,920
444,1160,2440
445,1160,2056
446,1160,840
447,1160,-2808
448,1160,-2856
449,1112,2312
450,1112,1928
451,1112,1864
452,1112,-2792
453,1112,-2856
454,1096,4488
455,1096,4424
456,1096,4360
457,1096,4184
458,1096,2264
459,1096,-5176
460,1048,1544
461,1048,-3496
462,1032,4296
463,1032,-2616
464,1032,-5160
465,984,-5944
466,968,3272
467,968,3224
468,968,-2600
469,968,-3688
470,968,-5240
471,968,-5560
472,968,-5880
473,920,3592
474,920,3544
475,904,3784
476,904,2248
477,904,1480
478,904,-2664
479,904,-5560
480,856,-2856
481,856,-2856
482,856,-5928
483,840,3976
484,840,3864
485,840,3208
486,840,-3176
487,840,-3768
488,792,-1400
489,776,4040
490,776,3864
491,776,3720
492,776,-1448
493,776,-4408
494,776,-4472
495,776,-4536
496,776,-4600
497,728,4104
498,728,-2856
499,728,-4280
500,712,-1336
501,712,-4216
502,712,-5432
503,664,-1336
504,664,-5480
505,648,2696
506,648,-1208
507,648,-1464
508,648,-5432
509,600,3336
510,600,3208
511,600,-1272
512,600,-4024
513,584,-1144
514,584,-1336
515,584,-1400
516,584,-5624
517,536,1416
518,536,-4920
519,520,5128
520,520,-1192
521,520,-1256
522,520,-3768
523,520,-5048
524,520,-5624
525,520,-5688
526,472,1608
527,456,1544
528,456,1480
529,456,-5496
530,456,-5608
531,456,-5688
532,456,-5736
533,456,-5800
534,408,-4920
535,392,1736
536,392,-5304
537,392,-5688
538,392,-5752
539,392,-5816
540,344,4360
541,344,1800
542,328,5272
543,328,2056
544,328,1736
545,280,5064
546,280,1736
547,280,-4792
548,264,5384
549,264,5320
550,264,4808
551,264,-5496
552,216,4168
553,216,-5304
554,200,5336
555,200,5064
556,200,1624
557,200,-4600
558,200,-4728
559,200,-5368
560,200,-5480
561,200,-5544
562,152,4488
563,152,968
564,152,-1192
565,152,-5288
566,136,2504
567,136,-3704
568,136,-3768
569,136,-3832
570,136,-5368
571,88,2440
572,72,-4152
573,72,-4920
574,8,5272
575,8,-104
576,-40,8
577,-40,-56
578,-56,-120
579,-56,-3576
580,-56,-4840
581,-120,1352
582,-120,-4904
583,-168,-1464
584,-184,1288
585,-184,200
586,-184,136
587,-184,88
588,-184,8
589,-184,-1528
590,-248,1928
591,-248,1224
592,-248,344
593,-248,-1448
594,-248,-4920
595,-296,-1464
596,-312,2392
597,-312,2328
598,-312,1224
599,-312,-2424
600,-312,-3192
601,-312,-3256
602,-360,1544
603,-376,1240
604,-376,72
605,-376,24
606,-376,-1464
607,-376,-3192
608,-376,-4984
609,-424,-3128
610,-440,1544
611,-440,1224
612,-440,968
613,-440,-1464
614,-440,-3192
615,-440,-5800
616,-504,1240
617,-504,-1464
618,-504,-2744
619,-504,-5752
620,-504,-5816
621,-568,4168
622,-568,2568
623,-568,1160
624,-568,136
625,-568,-56
626,-616,-56
627,-632,5064
628,-632,4360
629,-632,-2168
630,-632,-2728
631,-632,-3128
632,-680,4232
633,-680,2376
634,-680,-2168
635,-680,-2936
636,-680,-3064
637,-680,-4712
638,-696,4168
639,-696,2328
640,-696,1224
641,-696,968
642,-696,600
643,-696,-2728
644,-696,-3000
645,-696,-5880
646,-744,2184
647,-760,5448
648,-760,4232
649,-760,4168
650,-760,1160
651,-760,1112
652,-760,776
653,-760,648
654,-760,584
655,-760,520
656,-760,-2168
657,-808,216
658,-808,-5176
659,-824,4104
660,-824,2136
661,-824,584
662,-824,520
663,-824,264
664,-824,-1720
665,-824,-1896
666,-824,-2232
667,-872,-568
668,-888,5960
669,-888,5896
670,-888,5832
671,-888,1992
672,-888,1928
673,-888,1240
674,-888,1032
675,-888,1032
676,-888,264
677,-888,-616
678,-888,-696
679,-888,-1640
680,-888,-2232
681,-936,5848
682,-936,2184
683,-936,1944
684,-936,1352
685,-936,-824
686,-952,5704
687,-952,4104
688,-952,3336
689,-952,1432
690,-952,1224
691,-952,1096
692,-952,392
693,-952,216
694,-952,-504
695,-952,-872
696,-952,-2296
697,-952,-2360
698,-1000,1560
699,-1000,-1592
700,-1016,4168
701,-1016,3272
702,-1016,2184
703,-1016,200
704,-1016,-312
705,-1016,-376
706,-1016,-696
707,-1016,-808
708,-1016,-888
709,-1016,-952
710,-1016,-4344
711,-1016,-4728
712,-1064,3912
713,-1064,2184
714,-1064,1608
715,-1064,-952
716,-1064,-5032
717,-1080,2248
718,-1080,1928
719,-1080,-56
720,-1080,-248
721,-1080,-760
722,-1080,-4792
723,-1144,4168
724,-1144,3976
725,-1144,-184
726,-1144,-1656
727,-1144,-4280
728,-1144,-4344
729,-1144,-4728
730,-1192,4104
731,-1192,-5096
732,-1208,3016
733,-1208,584
734,-1208,520
735,-1208,-1720
736,-1208,-4152
737,-1256,-5608
738,-1272,1944
739,-1336,1112
740,-1336,-1272
741,-1384,-760
742,-1400,1992
743,-1400,-696
744,-1400,-1272
745,-1400,-2360
746,-1400,-2472
747,-1400,-5624
748,-1448,1480
749,-1448,-2168
750,-1448,-2552
751,-1464,5192
752,-1464,1112
753,-1464,-2296
754,-1464,-2616
755,-1464,-5688
756,-1464,-5752
757,-1464,-5800
758,-1512,1032
759,-1512,-2232
760,-1512,-2536
761,-1576,1560
762,-1576,-1208
763,-1576,-4776
764,-1576,-4904
765,-1592,840
766,-1592,-4728
767,-1592,-4968
768,-1640,1608
769,-1640,-1272
770,-1640,-4536
771,-1656,1688
772,-1656,-5240
773,-1656,-5736
774,-1720,792
775,-1720,-2424
776,-1720,-5176
777,-1784,-2232
778,-1784,-5048
779,-1784,-5816
780,-1848,5960
781,-1848,5832
782,-1848,5784
783,-1848,-1912
784,-1848,-2408
785,-1848,-2936
786,-1848,-5880
787,-1896,-2872
788,-1912,-1016
789,-1912,-3000
790,-1960,-4648
791,-1960,-4856
792,-1976,5640
793,-1976,-2936
794,-1976,-3448
795,-1976,-3576
796,-1976,-4536
797,-1976,-4600
798,-2024,5640
799,-2024,-2472
800,-2040,-2680
801,-2040,-2808
802,-2104,-1256
803,-2104,-2040
804,-2104,-2104
805,-2104,-2424
806,-2152,5512
807,-2168,5576
808,-2168,5464
809,-2168,1352
810,-2168,-1512
811,-2168,-4520
812,-2168,-5992
813,-2216,5512
814,-2216,200
815,-2216,-1592
816,-2232,5640
817,-2232,5448
818,-2232,5400
819,-2232,3928
820,-2232,3720
821,-2232,-1400
822,-2232,-1912
823,-2232,-2552
824,-2232,-3768
825,-2232,-4792
826,-2280,5320
827,-2280,3848
828,-2280,-1592
829,-2280,-4904
830,-2280,-5224
831,-2296,5656
832,-2296,5528
833,-2296,5384
834,-2296,584
835,-2296,-1064
836,-2296,-1464
837,-2296,-1512
838,-2296,-1656
839,-2296,-1720
840,-2296,-3832
841,-2296,-3880
842,-2296,-4792
843,-2344,5464
844,-2344,5320
845,-2344,-4792
846,-2360,3992
847,-2360,3848
848,-2360,3800
849,-2360,216
850,-2360,-2024
851,-2360,-4856
852,-2408,5704
853,-2408,-56
854,-2408,-4840
855,-2424,4168
856,-2424,3336
857,-2424,-2024
858,-2424,-4088
859,-2424,-4904
860,-2472,5704
861,-2472,4168
862,-2472,3336
863,-2472,-4088
864,-2488,3720
865,-2488,1672
866,-2488,8
867,-2488,-56
868,-2488,-1016
869,-2488,-2040
870,-2552,4168
871,-2552,1736
872,-2552,88
873,-2552,-1976
874,-2552,-4088
875,-2600,1864
876,-2600,-1144
877,-2600,-2104
878,-2616,5256
879,-2616,5208
880,-2616,4168
881,-2616,1800
882,-2616,136
883,-2616,-1528
884,-2616,-2040
885,-2616,-2232
886,-2616,-4920
887,-2616,-4968
888,-2664,-1512
889,-2664,-2168
890,-2680,5272
891,-2680,4424
892,-2680,4104
893,-2680,3912
894,-2680,1928
895,-2680,1864
896,-2680,1800
897,-2680,200
898,-2680,-1464
899,-2680,-2232
900,-2680,-4088
901,-2680,-4856
902,-2680,-4920
903,-2680,-5944
904,-2728,3976
905,-2728,-5944
906,-2744,4744
907,-2744,4680
908,-2744,4568
909,-2744,3032
910,-2744,-232
911,-2744,-4920
912,-2808,2568
913,-2808,1816
914,-2808,1736
915,-2808,200
916,-2808,-1400
917,-2808,-4024
918,-2808,-5944
919,-2856,-4024
920,-2872,4120
921,-2872,1864
922,-2872,1736
923,-2872,-5880
924,-2920,-5672
925,-2920,-5672
926,-2920,-5992
927,-2936,4120
928,-2936,4040
929,-2936,1928
930,-2936,1736
931,-2984,2120
932,-2984,1544
933,-2984,-4904
934,-2984,-5416
935,-2984,-5880
936,-3000,3976
937,-3000,3080
938,-3000,3016
939,-3000,200
940,-3000,-696
941,-3000,-5224
942,-3000,-5304
943,-3048,3912
944,-3048,1688
945,-3048,-4088
946,-3048,-5112
947,-3048,-5880
948,-3064,4168
949,-3064,4120
950,-3064,3144
951,-3064,1816
952,-3064,-4984
953,-3064,-5304
954,-3112,-5368
955,-3128,2696
956,-3128,88
957,-3128,-56
958,-3128,-936
959,-3128,-1016
960,-3192,2760
961,-3192,-312
962,-3240,-696
963,-3240,-4072
964,-3256,2824
965,-3256,280
966,-3304,264
967,-3320,3144
968,-3320,3144
969,-3368,2904
970,-3384,2504
971,-3384,-1016
972,-3448,2520
973,-3448,328
974,-3496,328
975,-3512,3976
976,-3512,88
977,-3560,72
978,-3560,-3896
979,-3576,328
980,-3576,-232
981,-3640,200
982,-3640,-5688
983,-3704,-104
984,-3704,-5688
985,-3752,-3704
986,-3768,-184
987,-3768,-3752
988,-3816,-5688
989,-3832,-120
990,-3880,3016
991,-3880,-3240
992,-3896,-248
993,-3944,-3432
994,-3960,-4856
995,-4024,-5560
996,-4088,2824
997,-4088,-360
998,-4136,5640
999,-4136,3272
1000,-4152,-360
1001,-4200,5576
1002,-4216,-1464
1003,-4264,2136
1004,-4264,2072
1005,-4264,-3768
1006,-4264,-3960
1007,-4328,8
1008,-4328,-3768
1009,-4328,-3880
1010,-4344,5576
1011,-4344,3032
1012,-4344,2968
1013,-4344,-56
1014,-4344,-120
1015,-4344,-184
1016,-4344,-616
1017,-4344,-1144
1018,-4392,2120
1019,-4392,-1272
1020,-4392,-3768
1021,-4408,2696
1022,-4408,8
1023,-4408,-184
1024,-4408,-3896
1025,-4472,-312
1026,-4472,-568
1027,-4472,-1144
1028,-4472,-2152
1029,-4472,-3752
1030,-4472,-3816
1031,-4472,-3896
1032,-4520,-3832
1033,-4520,-5944
1034,-4536,2584
1035,-4536,-568
1036,-4536,-1976
1037,-4536,-3768
1038,-4536,-3880
1039,-4584,-3832
1040,-4600,5784
1041,-4600,5704
1042,-4600,2440
1043,-4600,-376
1044,-4600,-1144
1045,-4600,-1192
1046,-4600,-1448
1047,-4600,-3704
1048,-4600,-3768
1049,-4600,-5944
1050,-4648,-1400
1051,-4648,-3816
1052,-4664,5704
1053,-4664,5640
1054,-4664,2632
1055,-4664,2568
1056,-4664,-1144
1057,-4664,-1192
1058,-4664,-2424
1059,-4664,-3576
1060,-4664,-3624
1061,-4664,-5944
1062,-4712,2632
1063,-4728,5656
1064,-4728,-632
1065,-4728,-2408
1066,-4728,-3576
1067,-4792,5896
1068,-4792,5320
1069,-4792,-440
1070,-4792,-760
1071,-4792,-888
1072,-4792,-952
1073,-4792,-3320
1074,-4792,-3384
1075,-4792,-3512
1076,-4840,-5624
1077,-4840,-5752
1078,-4856,5768
1079,-4856,2632
1080,-4856,-440
1081,-4856,-1656
1082,-4856,-5816
1083,-4904,5768
1084,-4904,728
1085,-4904,-440
1086,-4904,-4024
1087,-4920,5704
1088,-4920,5576
1089,-4920,2456
1090,-4920,2376
1091,-4968,2328
1092,-4984,5464
1093,-4984,648
1094,-4984,-1848
1095,-4984,-1912
1096,-4984,-3896
1097,-5032,-744
1098,-5032,-4728
1099,-5048,2264
1100,-5048,2184
1101,-5048,-696
1102,-5048,-1320
1103,-5048,-1400
1104,-5048,-4648
1105,-5048,-5608
1106,-5096,5960
1107,-5112,1032
1108,-5112,-1272
1109,-5112,-4024
1110,-5112,-4088
1111,-5112,-4408
1112,-5112,-4584
1113,-5176,520
1114,-5176,-1144
1115,-5176,-2280
1116,-5176,-3512
1117,-5176,-4200
1118,-5176,-4472
1119,-5176,-4840
1120,-5176,-5432
1121,-5240,5320
1122,-5240,2120
1123,-5240,664
1124,-5240,520
1125,-5240,-1144
1126,-5240,-4344
1127,-5240,-4392
1128,-5240,-4792
1129,-5288,536
1130,-5288,-1144
1131,-5304,-952
1132,-5304,-1000
1133,-5304,-4664
1134,-5304,-4856
1135,-5368,456
1136,-5368,-1960
1137,-5368,-3960
1138,-5368,-4600
1139,-5368,-4648
1140,-5368,-4712
1141,-5368,-4856
1142,-5416,5384
1143,-5416,-4728
1144,-5432,648
1145,-5432,-2168
1146,-5432,-4600
1147,-5432,-4664
1148,-5480,-2728
1149,-5496,-1128
1150,-5496,-1400
1151,-5496,-1848
1152,-5496,-2552
1153,-5496,-4088
1154,-5544,-1768
1155,-5560,584
1156,-5560,-1064
1157,-5560,-1144
1158,-5560,-1336
1159,-5560,-3960
1160,-5560,-4088
1161,-5560,-4152
1162,-5624,5512
1163,-5624,-1144
1164,-5624,-3960
1165,-5624,-4600
1166,-5672,5576
1167,-5688,1672
1168,-5688,-3640
1169,-5688,-3832
1170,-5688,-3880
1171,-5688,-4472
1172,-5752,5832
1173,-5752,5528
1174,-5752,1880
1175,-5752,1608
1176,-5752,1416
1177,-5752,-3896
1178,-5752,-4600
1179,-5752,-4840
1180,-5752,-5224
1181,-5800,5576
1182,-5800,-4088
1183,-5816,1304
1184,-5816,-3304
1185,-5816,-4664
1186,-5816,-4728
1187,-5816,-5304
1188,-5816,-5416
1189,-5864,2056
1190,-5864,-184
1191,-5864,-3320
1192,-5864,-4792
1193,-5880,5592
1194,-5880,-2104
1195,-5880,-2808
1196,-5880,-4088
1197,-5880,-4712
1198,-5880,-5304
1199,-5880,-5688
1200,-5880,-5752
1201,-5928,-2040
1202,-5944,5640
1203,-5944,1992
1204,-5944,-3704
1205,-5944,-5624
1206,-5992,-3112
1207,-5992,-3240
1208,-5992,-3704
1209,-5992,-5688
