Nether Fortress,X,Z
151,2006,-224
152,2005,-299
153,2004,-458
154,2003,-833
155,2002,-830
156,1999,-738
157,1999,-647
158,1998,-686
159,1998,-433
160,1997,-860
161,1997,-794
162,1997,-702
163,1996,-266
164,1995,-193
165,1993,-383
166,1991,-474
167,1991,257
168,1990,-891
169,1984,-419
170,1983,-540
171,1983,-404
172,1982,-694
173,1982,-687
174,1982,-439
175,1982,207
176,1980,-1049
177,1979,-259
178,1979,362
179,1978,-826
180,1978,290
181,1977,-645
182,1976,215
183,1975,-450
184,1974,-213
185,1973,-835
186,1972,-978
187,1971,-585
188,1970,-722
189,1970,-249
190,1969,-1040
191,1969,-375
192,1968,-660
193,1968,-518
194,1967,-811
195,1967,-690
196,1967,-596
197,1967,-587
198,1967,-368
199,1967,-226
200,1967,409
201,1964,-728
202,1964,346
203,1964,357
204,1963,-569
205,1963,296
206,1963,375
207,1962,-827
208,1962,-266
209,1962,-409
210,1961,-646
211,1959,-1029
212,1959,178
213,1959,228
214,1959,304
215,1953,-776
216,1953,-146
217,1951,-675
218,1950,-643
219,1950,-413
220,1950,-217
221,1950,322
222,1949,-607
223,1948,-574
224,1948,-437
225,1948,-418
226,1947,-299
227,1947,239
228,1946,-694
229,1946,-134
230,1946,209
231,1945,288
232,1945,512
233,1940,500
234,1938,-1034
235,1938,-791
236,1938,-619
237,1938,-380
238,1937,457
239,1935,-735
240,1931,-870
241,1930,-846
242,1930,-539
243,1929,-690
244,1928,335
245,1924,-629
246,1923,-450
247,1921,-998
248,1921,-806
249,1919,-853
250,1919,-421
251,1919,448
252,1918,-583
253,1917,-399
254,1917,364
255,1915,-416
256,1914,-869
257,1913,-669
258,1913,410
259,1912,-809
260,1911,-683
261,1910,-451
262,1909,386
263,1909,417
264,1908,-718
265,1907,534
266,1905,-893
267,1905,-468
268,1904,-689
269,1901,-1017
270,1901,-893
271,1900,-832
272,1899,-974
273,1897,-696
274,1897,422
275,1895,-986
276,1895,-929
277,1895,-841
278,1893,-433
279,1892,-417
280,1890,-561
281,1888,-849
282,1887,-535
283,1886,-630
284,1884,373
285,1883,460
286,1883,521
287,1879,-761
288,1877,-643
289,1877,416
290,1875,-601
291,1874,-752
292,1874,-465
293,1873,-433
294,1871,-770
295,1871,426
296,1870,-847
297,1868,544
298,1865,-819
299,1860,-526
300,1859,-798
301,1858,-487
302,1858,-466
303,1858,-447
304,1856,-739
305,1856,-652
306,1855,-472
307,1855,387
308,1852,-456
309,1846,486
310,1845,-500
311,1844,-847
312,1842,-635
313,1842,476
314,1841,-824
315,1838,-653
316,1838,542
317,1835,-775
318,1831,547
319,1829,-494
320,1826,2073
321,1826,410
322,1826,435
323,1826,525
324,1825,2115
325,1825,457
326,1824,-767
327,1823,2134
328,1823,492
329,1817,529
330,1816,2227
331,1816,744
332,1815,2051
333,1814,2185
334,1813,2127
335,1811,760
336,1809,-757
337,1807,706
338,1806,2156
339,1806,-852
340,1805,-799
341,1805,-597
342,1797,698
343,1795,2203
344,1795,-1349
345,1794,2076
346,1793,2160
347,1792,2188
348,1792,649
349,1790,-628
350,1789,-611
351,1783,673
352,1781,2129
353,1778,663
354,1776,2066
355,1769,-615
356,1769,-574
357,1764,2156
358,1764,662
359,1763,2042
360,1762,2138
361,1752,-556
362,1743,690
363,1739,-1342
364,1738,-1363
365,1737,2150
366,1736,-1377
367,1736,710
368,1732,2071
369,1726,732
370,1720,679
371,1714,698
372,1710,-1425
373,1695,730
374,1692,676
375,1687,736
376,1670,681
377,1664,774
378,1660,756
379,1658,695
380,1648,-1430
381,1648,-1471
382,1641,-1423
383,1641,696
384,1638,-1443
385,1631,737
386,1629,-1421
387,1629,764
388,1628,-1581
389,1625,-1763
390,1620,730
391,1617,-1537
392,1617,-1586
393,1615,723
394,1612,759
395,1611,-1771
396,1611,-1583
397,1610,-1593
398,1609,-1665
399,1606,-1523
400,1604,-1420
401,1603,-360
402,1603,-1509
403,1601,-1494
404,1596,-1647
405,1595,-1805
406,1594,768
407,1593,679
408,1592,-1403
409,1592,-1459
410,1592,719
411,1591,-1773
412,1591,-1430
413,1587,1266
414,1587,-1608
415,1586,-1680
416,1586,-1379
417,1586,689
418,1585,-1694
419,1580,-1565
420,1578,-1707
421,1577,723
422,1575,-1787
423,1575,-1667
424,1573,-1800
425,1573,-1691
426,1573,-1387
427,1573,-1410
428,1572,-1809
429,1572,-1656
430,1571,-1471
431,1570,-1720
432,1570,714
433,1567,733
434,1566,-340
435,1565,1186
436,1565,673
437,1564,-1776
438,1564,-1510
439,1563,783
440,1560,-1724
441,1559,653
442,1558,-1783
443,1556,746
444,1554,-1823
445,1553,-1856
446,1553,-1571
447,1551,1249
448,1551,735
449,1550,-1870
450,1550,769
451,1548,1186
452,1544,-1751
453,1544,-1565
454,1543,1213
455,1542,-1793
456,1541,-1713
457,1541,650
458,1539,-1439
459,1538,-1372
460,1538,-1583
461,1535,-1630
462,1533,-1664
463,1531,-1819
464,1528,-1540
465,1527,-1497
466,1526,658
467,1525,-1864
468,1524,704
469,1523,-1845
470,1522,-1908
471,1522,-1834
472,1522,-1458
473,1521,-1775
474,1520,649
475,1519,710
476,1517,-1864
477,1516,-1758
478,1516,-1854
479,1514,-1910
480,1512,-1383
481,1511,-1902
482,1509,-390
483,1508,-1950
484,1505,-1348
485,1505,685
486,1504,-1885
487,1502,-1852
488,1502,-1789
489,1501,655
490,1499,-1953
491,1497,-1514
492,1497,-1334
493,1496,1104
494,1496,-1365
495,1494,-1920
496,1493,-1688
497,1484,-1972
498,1481,-383
499,1480,1176
500,1479,-1844
501,1477,1139
502,1468,-1792
503,1465,-1710
504,1456,-1640
505,1452,-1682
506,1450,-1932
507,1450,-1764
508,1450,-363
509,1449,-1732
510,1446,-1881
511,1445,-347
512,1442,-403
513,1441,-1750
514,1440,637
515,1439,-1770
516,1439,-1401
517,1438,-1842
518,1438,784
519,1436,776
520,1434,-1825
521,1433,639
522,1429,-1752
523,1426,-1923
524,1424,-1425
525,1424,835
526,1423,-398
527,1417,-1760
528,1417,-339
529,1416,-364
530,1411,-1812
531,1410,-1900
532,1409,-1771
533,1407,-1778
534,1406,-403
535,1405,-1774
536,1403,-1859
537,1403,798
538,1402,-1747
539,1401,683
540,1398,-1891
541,1396,-1880
542,1395,-1853
543,1394,780
544,1393,-351
545,1393,852
546,1392,654
547,1390,-398
548,1386,684
549,1386,870
550,1382,-1864
551,1380,-1846
552,1378,735
553,1377,814
554,1377,776
555,1377,927
556,1376,787
557,1376,834
558,1376,880
559,1371,770
560,1369,-1831
561,1366,-359
562,1366,821
563,1364,868
564,1362,-376
565,1354,926
566,1350,671
567,1346,799
568,1345,-373
569,1339,-383
570,1338,-407
571,1332,-357
572,1327,882
573,1321,785
574,1319,737
575,1318,821
576,1311,699
577,1311,809
578,1298,887
579,1296,913
580,1293,811
581,1290,791
582,1290,747
583,1289,844
584,1285,763
585,1283,733
586,1281,888
587,1280,776
588,1278,849
589,1275,809
590,1272,744
591,1269,872
592,1264,780
593,1259,751
594,1256,807
595,1247,467
596,1247,870
597,1243,768
598,1243,860
599,1240,437
600,1236,413
601,1236,729
602,1235,422
603,1226,815
604,1222,476
605,1221,752
606,1215,1799
607,1215,490
608,1210,467
609,1206,321
610,1203,1790
611,1200,1850
612,1199,524
613,1194,486
614,1191,426
615,1190,468
616,1182,429
617,1181,571
618,1177,1815
619,1173,1805
620,1171,272
621,1169,590
622,1166,552
623,1165,589
624,1163,1740
625,1162,1774
626,1160,1758
627,1160,253
628,1158,431
629,1157,450
630,1151,1835
631,1147,1821
632,1147,567
633,1146,275
634,1146,447
635,1145,1754
636,1143,579
637,1139,614
638,1135,1763
639,1135,386
640,1132,1836
641,1132,460
642,1132,605
643,1131,540
644,1129,480
645,1129,589
646,1129,617
647,1124,1734
648,1119,425
649,1119,571
650,1118,482
651,1114,1765
652,1114,507
653,1114,536
654,1109,1753
655,1106,1791
656,1106,645
657,1104,473
658,1101,1754
659,1093,508
660,1088,1676
661,1087,596
662,1083,546
663,1082,487
664,1077,1777
665,1075,1813
666,1075,476
667,1068,1820
668,1066,431
669,1062,1843
670,1058,1790
671,1056,1769
672,1053,416
673,1052,502
674,1048,1761
675,1042,451
676,1039,1787
677,1036,349
678,1035,1762
679,1033,416
680,1030,1868
681,1029,392
682,1021,1755
683,1019,557
684,1018,1866
685,1017,1771
686,1016,1828
687,1010,404
688,1006,1784
689,1005,1981
690,1002,1846
691,1002,1907
692,1001,2034
693,1001,347
694,996,-2276
695,995,1881
696,994,360
697,993,1758
698,989,353
699,989,542
700,982,1844
701,980,2034
702,980,1837
703,978,383
704,976,1820
705,975,1837
706,974,573
707,974,577
708,968,-2272
709,967,-2199
710,965,1849
711,965,482
712,963,544
713,959,1830
714,959,349
715,959,360
716,956,1716
717,956,1789
718,954,-2289
719,953,-2245
720,953,395
721,952,508
722,952,479
723,951,1858
724,950,-2217
725,948,1743
726,947,335
727,947,458
728,946,422
729,942,1775
730,942,447
731,941,-2267
732,941,403
733,940,-2287
734,940,-2202
735,940,503
736,938,308
737,937,349
738,936,-2184
739,932,429
740,930,360
741,929,527
742,927,-2142
743,925,1817
744,924,305
745,923,1807
746,923,-1443
747,921,-2227
748,918,-1460
749,917,434
750,915,-1345
751,915,449
752,911,396
753,910,-1448
754,906,-2265
755,906,-1459
756,905,494
757,904,-1347
758,903,535
759,902,-1323
760,901,-2280
761,901,350
762,900,-2244
763,897,-1431
764,897,468
765,895,468
766,895,528
767,893,-1428
768,893,315
769,892,483
770,890,-1424
771,890,387
772,889,499
773,887,323
774,884,-2031
775,882,-2073
776,880,-2241
777,880,517
778,879,-1370
779,878,-2278
780,878,-2237
781,878,-1456
782,877,-1392
783,876,407
784,876,512
785,874,-2085
786,870,-1393
787,870,510
788,867,-1471
789,863,-2273
790,856,-1891
791,855,-1413
792,853,-2261
793,853,-2036
794,853,-2027
795,852,-2015
796,851,-2235
797,848,-1975
798,848,-1947
799,847,-2012
800,847,-1390
801,843,-1998
802,842,446
803,841,-1915
804,840,-1926
805,838,-2237
806,837,-1448
807,835,486
808,834,-2073
809,834,457
810,833,-1437
811,830,-1950
812,827,-1968
813,823,489
814,822,-1417
815,820,-2184
816,817,-1436
817,813,-1332
818,811,-2219
819,809,-2262
820,803,-2182
821,801,-2015
822,800,-2133
823,798,-2200
824,793,-2059
825,791,-2151
826,791,-1416
827,790,-1396
828,789,-2125
829,785,-2029
830,778,-2143
831,777,-2176
832,777,-2123
833,773,-1891
834,771,-2152
835,769,-2004
836,761,-1871
837,758,-1881
838,757,-2179
839,746,-2082
840,740,-2179
841,740,-2015
842,730,-2166
843,729,-1978
844,727,-2069
845,721,-1891
846,713,-2273
847,713,-1853
848,704,-2080
849,693,-1873
850,691,-731
851,691,-693
852,691,1739
853,686,-703
854,683,-1822
855,682,-737
856,682,1740
857,682,-2120
858,681,-684
859,681,-1849
860,678,-2017
861,677,-2143
862,676,1765
863,675,-1999
864,673,-1984
865,672,-711
866,671,-729
867,671,1805
868,671,-1993
869,670,-1809
870,669,1786
871,668,1770
872,666,-777
873,666,-1972
874,665,1745
875,663,1824
876,662,-2175
877,660,-2275
878,659,-2249
879,658,-681
880,658,-1965
881,654,-758
882,651,-2252
883,651,-2070
884,650,-2086
885,647,1757
886,647,1806
887,646,-2257
888,646,-2293
889,645,-1921
890,642,-682
891,641,1840
892,638,-2007
893,636,1838
894,635,-2279
895,635,-1962
896,634,-2087
897,633,-2224
898,633,-1936
899,632,-2205
900,630,-2294
901,629,-1990
902,628,-2256
903,627,1795
904,626,-2262
905,626,-1886
906,623,1852
907,623,-2252
908,622,-1908
909,622,-1966
910,621,-2143
911,619,-1773
912,616,1877
913,616,-2289
914,616,-1857
915,615,1895
916,615,-2185
917,615,-1757
918,612,1793
919,611,1699
920,611,1741
921,609,-1873
922,607,1739
923,607,1721
924,607,1843
925,603,-814
926,603,-1748
927,602,1774
928,601,-1766
929,601,17
930,600,-2130
931,599,-1992
932,598,-1910
933,598,-1805
934,597,-786
935,596,-2264
936,594,1755
937,594,7
938,591,-2114
939,587,-821
940,582,-796
941,582,1769
942,581,1807
943,577,-772
944,571,731
945,569,1694
946,568,-1986
947,566,1759
948,565,-28
949,564,-743
950,564,1808
951,564,-1805
952,564,105
953,562,-58
954,559,-1903
955,559,-1773
956,559,-75
957,558,-693
958,555,1811
959,555,-1906
960,554,-687
961,551,-751
962,550,1795
963,550,-1945
964,548,-735
965,548,-762
966,548,722
967,548,-1794
968,547,-122
969,546,-640
970,546,-1865
971,544,-1
972,540,-752
973,540,1763
974,540,745
975,540,-1906
976,538,-735
977,538,-1771
978,538,65
979,537,-838
980,537,-1758
981,536,-638
982,536,-1792
983,533,-674
984,532,-761
985,528,-774
986,525,-1757
987,524,-1777
988,523,-50
989,521,-646
990,520,-724
991,520,-128
992,519,-766
993,519,-668
994,518,-771
995,518,-1830
996,514,72
997,512,-1949
998,511,-1971
999,510,-754
1000,508,-803
1001,505,-1958
1002,504,39
1003,503,-619
1004,501,-1872
1005,501,-1818
1006,500,1733
1007,497,14
1008,496,-718
1009,495,-603
1010,494,-797
1011,493,-575
1012,493,-1840
1013,492,1751
1014,491,-698
1015,490,-782
1016,490,-1928
1017,486,-824
1018,486,-671
1019,485,-710
1020,485,-1854
1021,484,25
1022,482,-737
1023,480,-1816
1024,479,-759
1025,476,-740
1026,476,-152
1027,475,-161
1028,474,-126
1029,473,-694
1030,472,-784
1031,472,-627
1032,469,-603
1033,469,35
1034,468,-137
1035,467,-570
1036,463,-624
1037,462,-813
1038,462,151
1039,461,-631
1040,461,-125
1041,460,-134
1042,460,87
1043,459,-561
1044,457,-1888
1045,456,-578
1046,455,112
1047,453,-1784
1048,453,34
1049,451,-57
1050,450,-593
1051,448,24
1052,447,-907
1053,445,-720
1054,445,-689
1055,445,-133
1056,445,43
1057,441,-1769
1058,441,-182
1059,441,58
1060,438,-721
1061,437,151
1062,436,-1800
1063,435,-807
1064,435,-1791
1065,435,-100
1066,433,-751
1067,431,71
1068,430,-862
1069,430,-615
1070,428,51
1071,426,42
1072,425,-101
1073,423,-826
1074,420,-759
1075,420,-591
1076,419,-673
1077,419,-535
1078,417,-154
1079,416,-167
1080,415,-556
1081,415,17
1082,413,-234
1083,409,-637
1084,408,-680
1085,406,-882
1086,406,-111
1087,405,-529
1088,403,-653
1089,400,-866
1090,399,57
1091,397,-248
1092,395,-684
1093,395,138
1094,391,44
1095,390,-724
1096,388,-533
1097,388,65
1098,387,-702
1099,386,-749
1100,386,-527
1101,383,62
1102,382,-660
1103,382,-539
1104,382,-539
1105,379,181
1106,378,-561
1107,378,-508
1108,375,-719
1109,374,-743
1110,374,-589
1111,374,-16
1112,373,-72
1113,373,146
1114,371,-775
1115,371,166
1116,370,23
1117,367,-758
1118,367,188
1119,366,28
1120,364,-235
1121,362,-667
1122,362,-149
1123,358,-13
1124,358,168
1125,357,64
1126,356,-644
1127,356,-590
1128,354,-677
1129,354,155
1130,351,110
1131,351,113
1132,349,-718
1133,349,-158
1134,348,-747
1135,347,-653
1136,346,184
1137,345,-691
1138,345,-551
1139,344,-681
1140,340,-842
1141,340,-629
1142,340,-571
1143,339,66
1144,333,-628
1145,332,-524
1146,330,-572
1147,326,-151
1148,326,-84
1149,324,124
1150,321,-691
1151,321,-113
1152,321,8
1153,318,-121
1154,317,-778
1155,315,-148
1156,314,129
1157,313,167
1158,312,-512
1159,311,-59
1160,310,-753
1161,308,-816
1162,308,-93
1163,308,69
1164,305,-665
1165,300,-928
1166,297,65
1167,293,94
1168,289,16
1169,287,180
1170,285,-929
1171,285,-817
1172,285,117
1173,282,-889
1174,281,67
1175,276,136
1176,274,-1651
1177,274,-1638
1178,274,-9
1179,273,86
1180,270,102
1181,266,-902
1182,266,154
1183,265,-7
1184,259,-1648
1185,259,-17
1186,258,137
1187,252,-912
1188,252,83
1189,245,-1726
1190,240,-1761
1191,240,-1696
1192,231,19
1193,230,-1605
1194,228,-1755
1195,223,-1648
1196,220,1881
1197,218,-764
1198,217,-1652
1199,214,-1780
1200,212,-1665
1201,207,1828
1202,204,1913
1203,203,-1648
1204,201,-1654
1205,197,-1035
1206,195,-1790
1207,194,-888
1208,192,-1055
1209,191,-1673
1210,190,1893
1211,189,-1733
1212,188,-1642
1213,186,-1702
1214,182,-773
1215,182,1841
1216,182,-1649
1217,179,-831
1218,176,-888
1219,174,-828
1220,170,1886
1221,166,-1644
1222,164,-834
1223,155,-935
1224,149,-882
1225,143,-1807
1226,143,-1764
1227,142,-1780
1228,139,-885
1229,137,-810
1230,137,-1756
1231,132,-839
1232,132,-1739
1233,130,-1625
1234,127,-1727
1235,120,-1776
1236,118,-1619
1237,115,-1752
1238,111,-941
1239,110,-1134
1240,108,-978
1241,107,-954
1242,101,-1118
1243,100,-1021
1244,98,-1038
1245,93,-1729
1246,89,-1091
1247,89,-1007
1248,84,-1061
1249,83,-738
1250,83,-738
1251,82,-1778
1252,81,-1017
1253,81,-860
1254,81,-1820
1255,80,-824
1256,80,-1766
1257,79,-1713
1258,67,-913
1259,63,-1065
1260,63,-1782
1261,62,-1037
1262,58,-1011
1263,57,-917
1264,54,-808
1265,50,-838
1266,25,-725
1267,19,-984
1268,13,-1001
1269,8,-969
1270,8,-957
1271,4,-977
1272,3,-1045
1273,2,-927
1274,-2,-844
1275,-3,-2156
1276,-4,-2142
1277,-17,-928
1278,-18,-2154
1279,-22,-2111
1280,-24,-1052
1281,-29,-1027
1282,-30,-1019
1283,-32,-994
1284,-34,-748
1285,-34,-1013
1286,-36,-849
1287,-36,-2106
1288,-39,1547
1289,-43,-823
1290,-52,-828
1291,-55,-2098
1292,-61,-756
1293,-62,-878
1294,-64,-2134
1295,-66,-2085
1296,-67,-893
1297,-67,-2017
1298,-69,-2014
1299,-70,-1029
1300,-74,-903
1301,-76,-2120
1302,-79,-761
1303,-79,-1023
1304,-83,-2061
1305,-85,-2071
1306,-85,-2010
1307,-86,-976
1308,-86,-2019
1309,-87,-783
1310,-90,-825
1311,-90,-2089
1312,-91,-1051
1313,-100,-857
1314,-102,-989
1315,-104,-1007
1316,-106,-2112
1317,-109,-928
1318,-110,-2070
1319,-113,-2125
1320,-114,-769
1321,-115,-2088
1322,-124,-839
1323,-126,-973
1324,-129,-778
1325,-129,-2067
1326,-130,-2035
1327,-131,-1977
1328,-135,-2062
1329,-140,-2021
1330,-146,-864
1331,-155,-1004
1332,-158,-829
1333,-165,-828
1334,-168,-908
1335,-169,-1033
1336,-169,-1930
1337,-170,-939
1338,-171,-858
1339,-174,-761
1340,-175,-776
1341,-178,-799
1342,-180,-801
1343,-181,-989
1344,-183,-822
1345,-184,-784
1346,-188,-1957
1347,-192,-936
1348,-195,-995
1349,-196,-980
1350,-199,-1057
1351,-202,-869
1352,-203,-252
1353,-204,-975
1354,-205,-1045
1355,-211,-912
1356,-212,-200
1357,-212,-919
1358,-214,-1927
1359,-216,-2019
1360,-217,-248
1361,-218,-823
1362,-218,-1021
1363,-218,-1001
1364,-221,-265
1365,-223,-990
1366,-224,-966
1367,-225,-976
1368,-227,-960
1369,-227,-1004
1370,-227,-1953
1371,-228,-983
1372,-228,-1032
1373,-231,-289
1374,-232,-267
1375,-234,-837
1376,-237,-1914
1377,-240,-325
1378,-240,-752
1379,-241,-880
1380,-243,-320
1381,-244,-201
1382,-244,-340
1383,-244,-834
1384,-246,-947
1385,-247,-983
1386,-247,-1030
1387,-249,-1001
1388,-250,-727
1389,-256,-902
1390,-259,-990
1391,-260,-355
1392,-262,-330
1393,-268,-794
1394,-270,-871
1395,-271,-1006
1396,-272,-715
1397,-275,-729
1398,-279,-787
1399,-280,-228
1400,-280,-346
1401,-280,-371
1402,-284,-818
1403,-285,-212
1404,-286,-767
1405,-294,-846
1406,-295,-213
1407,-297,-956
1408,-297,-967
1409,-300,-813
1410,-302,-282
1411,-305,-229
1412,-306,-846
1413,-307,-948
1414,-309,-220
1415,-310,-298
1416,-312,-280
1417,-312,-831
1418,-313,-928
1419,-315,-860
1420,-318,-1002
1421,-319,-985
1422,-321,-291
1423,-322,-345
1424,-322,-894
1425,-325,-867
1426,-325,-906
1427,-326,-821
1428,-333,-953
1429,-335,-974
1430,-337,-988
1431,-350,-961
1432,-352,-911
1433,-357,-1943
1434,-359,-940
1435,-360,-920
1436,-361,-987
1437,-365,-888
1438,-366,-1000
1439,-368,-1837
1440,-370,-866
1441,-371,1504
1442,-372,102
1443,-372,-857
1444,-373,-960
1445,-374,-889
1446,-378,-1820
1447,-379,1534
1448,-381,-903
1449,-388,-798
1450,-388,-1939
1451,-389,-810
1452,-396,-948
1453,-405,-804
1454,-405,-1937
1455,-408,-1885
1456,-410,-1823
1457,-411,-911
1458,-412,-774
1459,-412,-1911
1460,-415,-797
1461,-415,-1801
1462,-421,-1820
1463,-429,-896
1464,-435,-1407
1465,-437,-1458
1466,-439,-1935
1467,-439,-1895
1468,-441,-1833
1469,-442,-1791
1470,-443,123
1471,-443,-1775
1472,-445,-1427
1473,-446,-1948
1474,-449,-1892
1475,-451,-1485
1476,-462,-1552
1477,-464,-1963
1478,-468,-1918
1479,-468,-1341
1480,-472,-1797
1481,-473,-1903
1482,-476,-857
1483,-478,124
1484,-479,-1814
1485,-479,-1556
1486,-484,-1828
1487,-485,-1952
1488,-489,-1595
1489,-492,-1537
1490,-494,117
1491,-496,-1355
1492,-501,-1888
1493,-502,-1929
1494,-502,-1549
1495,-502,-957
1496,-504,-967
1497,-505,-1532
1498,-506,-1360
1499,-507,-1581
1500,-510,-1793
1501,-511,-1498
1502,-512,-1745
1503,-513,-905
1504,-515,-1868
1505,-517,-1546
1506,-517,-870
1507,-520,-952
1508,-522,-1908
1509,-523,-1346
1510,-527,-894
1511,-529,-971
1512,-537,-911
1513,-538,-1777
1514,-540,-1889
1515,-540,-1526
1516,-540,-924
1517,-541,-933
1518,-544,-882
1519,-546,-810
1520,-547,-1845
1521,-547,-903
1522,-548,-1789
1523,-548,-1436
1524,-554,-1795
1525,-556,-1537
1526,-561,-1783
1527,-561,-1546
1528,-561,-967
1529,-563,-886
1530,-567,-1825
1531,-568,-1763
1532,-571,-1495
1533,-571,-1531
1534,-578,-836
1535,-582,-1841
1536,-583,-1878
1537,-585,-1379
1538,-586,-1532
1539,-592,-1808
1540,-594,-1448
1541,-594,-1519
1542,-598,-1291
1543,-604,-1352
1544,-605,-848
1545,-606,-994
1546,-607,-1314
1547,-607,-860
1548,-615,-876
1549,-616,-1486
1550,-616,-1291
1551,-618,-1300
1552,-618,-891
1553,-620,-1401
1554,-623,-1444
1555,-624,-1409
1556,-625,-981
1557,-626,-1445
1558,-627,-930
1559,-628,-1374
1560,-629,-866
1561,-632,-969
1562,-635,-1250
1563,-636,-1402
1564,-636,-888
1565,-639,-1187
1566,-640,-960
1567,-642,-1414
1568,-643,980
1569,-645,-1217
1570,-646,-1306
1571,-649,-935
1572,-650,-1214
1573,-652,-1140
1574,-652,-928
1575,-653,-1011
1576,-654,-869
1577,-658,-1347
1578,-658,-981
1579,-658,-955
1580,-662,-1287
1581,-663,-1413
1582,-667,-1154
1583,-670,-1314
1584,-671,-1109
1585,-673,-1414
1586,-673,-1019
1587,-676,-1170
1588,-678,-1224
1589,-678,-1209
1590,-678,-929
1591,-679,967
1592,-680,-983
1593,-681,-1188
1594,-681,-1125
1595,-683,-972
1596,-684,-1098
1597,-685,-1276
1598,-686,-1139
1599,-687,-1088
1600,-688,-1003
1601,-694,-1129
1602,-694,-1119
1603,-696,-1050
1604,-702,-930
1605,-702,49
1606,-706,-1090
1607,-706,60
1608,-711,998
1609,-711,166
1610,-713,-1238
1611,-714,102
1612,-716,-1063
1613,-719,207
1614,-721,-1315
1615,-722,-914
1616,-724,-1336
1617,-728,-12
1618,-730,53
1619,-731,-1293
1620,-734,127
1621,-734,149
1622,-736,-1107
1623,-745,167
1624,-747,-1309
1625,-747,91
1626,-752,132
1627,-761,64
1628,-762,54
1629,-763,1165
1630,-764,995
1631,-770,169
1632,-776,1164
1633,-777,143
1634,-782,43
1635,-789,1080
1636,-789,230
1637,-800,106
1638,-802,160
1639,-806,142
1640,-812,95
1641,-814,60
1642,-816,209
1643,-818,106
1644,-821,60
1645,-826,138
1646,-826,146
1647,-827,1088
1648,-827,67
1649,-831,1195
1650,-833,61
1651,-834,1030
1652,-836,65
1653,-836,126
1654,-836,132
1655,-845,111
1656,-853,67
1657,-860,174
1658,-862,225
1659,-863,197
1660,-865,1022
1661,-867,164
1662,-868,1024
1663,-870,238
1664,-871,132
1665,-876,178
1666,-881,83
1667,-886,78
1668,-886,125
1669,-901,-1450
1670,-902,-1466
1671,-910,192
1672,-914,176
1673,-927,-1466
1674,-928,204
1675,-935,-1514
1676,-939,229
1677,-940,-298
1678,-944,193
1679,-946,-1531
1680,-951,-285
1681,-956,-1540
1682,-960,2095
1683,-963,-349
1684,-966,-312
1685,-968,-1463
1686,-970,-1502
1687,-971,-301
1688,-972,2088
1689,-974,132
1690,-977,-1483
1691,-978,-1516
1692,-982,-320
1693,-982,-233
1694,-982,2106
1695,-984,-1539
1696,-987,-352
1697,-988,-260
1698,-989,1024
1699,-990,-326
1700,-993,-1548
1701,-993,1033
1702,-994,-293
1703,-995,-1495
1704,-1000,-409
1705,-1002,-320
1706,-1008,-1444
1707,-1008,-1474
1708,-1009,-1482
