Ruined Portal,X,Z
207,-1080,-2232
208,-1080,-4232
209,-1096,-424
210,-1144,-1688
211,-1160,2744
212,-1176,4792
213,-1192,1992
214,-1240,3848
215,-1256,-5688
216,-1544,5464
217,-1544,2200
218,-1576,744
219,-1656,4552
220,-1656,3848
221,-1656,-1736
222,-1672,-5592
223,-1704,2728
224,-1704,-4904
225,-1720,-440
226,-1720,152
227,-1720,-2808
228,-1736,-3768
229,-1752,-4152
230,-1768,-968
231,-1800,1368
232,-1832,-2360
233,-1864,3288
234,-2168,3352
235,-2184,-1784
236,-2184,-3192
237,-2216,1656
238,-2232,3864
239,-2264,-344
240,-2328,-4776
241,-2344,5224
242,-2344,-3656
243,-2392,2232
244,-2424,104
245,-2440,-1256
246,-2488,-2536
247,-2504,888
248,-2520,-5480
249,-2520,-4344
250,-2536,4872
251,-2552,2824
252,-2824,2008
253,-2824,-5608
254,-2888,3480
255,-2888,-2424
256,-2920,4872
257,-2952,216
258,-2984,5224
259,-2984,4136
260,-3016,-1656
261,-3032,-1272
262,-3048,-3752
263,-3064,-4216
264,-3096,-3112
265,-3112,1608
266,-3128,5912
267,-3128,-4904
268,-3144,920
269,-3160,-456
270,-3176,2952
271,-3464,56
272,-3480,4152
273,-3480,-1048
274,-3496,2824
275,-3512,-4136
276,-3528,-2952
277,-3544,2296
278,-3608,-5368
279,-3656,-568
280,-3656,-1768
281,-3672,4776
282,-3688,-4776
283,-3704,1464
284,-3720,3368
285,-3720,-2200
286,-3720,-3816
287,-3736,5368
288,-3816,808
289,-4104,-1832
290,-4104,-3032
291,-4136,3560
292,-4136,-1080
293,-4152,2008
294,-4200,2856
295,-4200,1448
296,-4232,5304
297,-4232,920
298,-4264,-5064
299,-4296,4088
300,-4312,-5528
301,-4328,-2488
302,-4376,4536
303,-4376,-4408
304,-4408,-3640
305,-4424,104
306,-4456,-424
307,-4744,-2264
308,-4744,-2888
309,-4760,3336
310,-4776,5896
311,-4824,728
312,-4840,5288
313,-4888,-1144
314,-4904,-1720
315,-4936,2824
316,-4952,2168
317,-4968,4744
318,-4968,-5688
319,-5032,3976
320,-5032,264
321,-5048,-3544
322,-5064,-4856
323,-5080,1608
324,-5096,-4440
325,-5112,-456
326,-5368,728
327,-5384,-3672
328,-5416,-2408
329,-5432,-408
330,-5448,2936
331,-5480,2216
332,-5480,-3176
333,-5528,24
334,-5528,-1624
335,-5544,4792
336,-5576,-4920
337,-5592,-1144
338,-5608,1464
339,-5656,5800
340,-5656,5336
341,-5656,3208
342,-5656,-5736
343,-5704,-4360
344,-5720,4104
