Mineshaft,X,Z
171,-5080,-2472
172,-5080,504
173,-5064,-1176
174,-5048,-2568
175,-5048,-2136
176,-5048,4984
177,-5032,-5128
178,-5032,-5832
179,-5032,-4232
180,-5032,-2920
181,-5032,3400
182,-5016,-5464
183,-5016,-5688
184,-5016,-4392
185,-5016,-2520
186,-5016,-136
187,-5016,1720
188,-5016,3512
189,-5016,2872
190,-5016,4344
191,-5016,5544
192,-5000,296
193,-4984,200
194,-4984,5832
195,-4984,5560
196,-4968,1912
197,-4968,1496
198,-4952,-5976
199,-4952,-4504
200,-4952,1976
201,-4936,-5560
202,-4936,-2984
203,-4936,-4024
204,-4936,4312
205,-4920,-3560
206,-4920,-1080
207,-4904,-5720
208,-4904,4568
209,-4888,-5864
210,-4888,-4808
211,-4888,4104
212,-4872,-2968
213,-4872,-744
214,-4872,-184
215,-4856,88
216,-4856,5224
217,-4840,-984
218,-4840,1560
219,-4824,-3928
220,-4824,3288
221,-4824,5624
222,-4808,5176
223,-4808,5352
224,-4792,4904
225,-4776,-1448
226,-4776,1128
227,-4760,-5608
228,-4760,-5928
229,-4760,3656
230,-4744,-5416
231,-4744,-3624
232,-4744,-1624
233,-4728,920
234,-4728,1016
235,-4728,4440
236,-4712,-3128
237,-4712,5400
238,-4696,4424
239,-4680,-4584
240,-4680,-968
241,-4680,3080
242,-4680,3560
243,-4664,-5368
244,-4664,-2040
245,-4664,4040
246,-4648,-1096
247,-4648,248
248,-4648,4632
249,-4632,-3080
250,-4632,4008
251,-4632,5544
252,-4616,2792
253,-4616,3768
254,-4600,-5880
255,-4600,-4728
256,-4600,-4520
257,-4600,5384
258,-4584,-5768
259,-4584,-3016
260,-4584,40
261,-4568,-728
262,-4568,-88
263,-4568,5384
264,-4536,2376
265,-4536,3304
266,-4520,-3144
267,-4520,-296
268,-4520,5160
269,-4520,5512
270,-4504,-5864
271,-4488,-1048
272,-4488,5432
273,-4472,-5144
274,-4472,-2184
275,-4472,-616
276,-4472,232
277,-4472,4856
278,-4472,3736
279,-4456,-824
280,-4440,-5976
281,-4440,-2840
282,-4440,1144
283,-4440,2536
284,-4440,4360
285,-4424,1496
286,-4408,-744
287,-4408,4488
288,-4408,5608
289,-4408,3752
290,-4376,-4712
291,-4376,-2472
292,-4360,-1800
293,-4360,-456
294,-4360,792
295,-4360,440
296,-4360,1608
297,-4360,3112
298,-4360,5400
299,-4344,-3912
300,-4344,-3208
301,-4344,-360
302,-4344,-456
303,-4344,5400
304,-4328,-5880
305,-4328,-5800
306,-4328,-2744
307,-4328,-2312
308,-4312,-4840
309,-4312,-4312
310,-4312,-3816
311,-4312,-3208
312,-4312,5032
313,-4296,-5544
314,-4296,-3016
315,-4280,-312
316,-4280,5336
317,-4264,-2680
318,-4264,-2568
319,-4264,2200
320,-4264,5064
321,-4248,-5912
322,-4248,-2968
323,-4248,1096
324,-4248,2536
325,-4232,-5800
326,-4232,-424
327,-4232,3480
328,-4184,5064
329,-4184,3912
330,-4168,-5000
331,-4168,-1656
332,-4168,-248
333,-4168,-3112
334,-4168,4072
335,-4152,-3352
336,-4152,-1320
337,-4152,-904
338,-4152,-2712
339,-4152,4680
340,-4136,-472
341,-4136,-4504
342,-4136,5768
343,-4136,4760
344,-4136,3752
345,-4120,56
346,-4104,1672
347,-4088,-664
348,-4088,-56
349,-4088,2296
350,-4072,-392
351,-4072,-3032
352,-4072,808
353,-4072,3448
354,-4056,-3544
355,-4056,1096
356,-4056,3224
357,-4040,-5416
358,-4040,-1192
359,-4040,-2664
360,-4040,1576
361,-4024,-5560
362,-4024,-1464
363,-4024,-680
364,-4024,-296
365,-4024,-2600
366,-4024,-4760
367,-4024,1576
368,-4024,2024
369,-4008,2552
370,-4008,5352
371,-4008,4264
372,-3992,4616
373,-3992,5432
374,-3976,536
375,-3976,4824
376,-3976,3464
377,-3960,-2728
378,-3960,2600
379,-3960,4936
380,-3960,3576
381,-3944,-872
382,-3944,-4088
383,-3944,5992
384,-3944,4168
385,-3928,-920
386,-3928,-3800
387,-3928,1800
388,-3928,4312
389,-3912,-5832
390,-3912,-4536
391,-3912,872
392,-3896,-4632
393,-3896,1496
394,-3880,-5816
395,-3880,-4728
396,-3880,1304
397,-3864,-664
398,-3864,5176
399,-3848,-424
400,-3848,-5544
401,-3848,1112
402,-3832,-1832
403,-3832,-2344
404,-3832,-4264
405,-3832,2360
406,-3816,-1208
407,-3816,-5512
408,-3816,3400
409,-3800,-744
410,-3800,-2424
411,-3800,-5416
412,-3800,536
413,-3800,5128
414,-3800,4520
415,-3800,4312
416,-3784,-3464
417,-3784,-3608
418,-3784,-5384
419,-3784,5176
420,-3784,4408
421,-3768,-3960
422,-3768,2648
423,-3768,4952
424,-3752,-3432
425,-3752,1512
426,-3752,1720
427,-3752,5864
428,-3736,-5720
429,-3736,-1048
430,-3736,-4696
431,-3736,488
432,-3720,-5416
433,-3720,136
434,-3720,4392
435,-3720,3304
436,-3704,-3592
437,-3704,4136
438,-3688,-3144
439,-3688,-5160
440,-3688,1864
441,-3688,4632
442,-3672,-360
443,-3672,-4968
444,-3672,136
445,-3672,2488
446,-3672,4232
447,-3656,4136
448,-3640,-4936
449,-3640,-5560
450,-3640,984
451,-3624,-2136
452,-3624,-3880
453,-3624,3016
454,-3608,-5960
455,-3608,-2360
456,-3608,-3448
457,-3608,-4376
458,-3608,-5160
459,-3608,-5480
460,-3592,-488
461,-3592,-1448
462,-3592,-5352
463,-3576,-1048
464,-3576,-4984
465,-3576,-5400
466,-3560,1064
467,-3560,4248
468,-3544,-4584
469,-3544,-4744
470,-3544,4568
471,-3544,4376
472,-3528,-5640
473,-3528,1720
474,-3528,2264
475,-3528,2328
476,-3528,4904
477,-3512,-1320
478,-3512,-4984
479,-3512,5208
480,-3496,-2632
481,-3496,-4744
482,-3496,504
483,-3496,840
484,-3496,1400
485,-3496,5000
486,-3480,-216
487,-3480,-824
488,-3480,-2504
489,-3480,1480
490,-3480,2008
491,-3480,2168
492,-3464,-2248
493,-3464,408
494,-3464,3320
495,-3448,-520
496,-3448,424
497,-3448,3208
498,-3432,-1576
499,-3432,-1688
500,-3432,-5624
501,-3432,-5400
502,-3432,5528
503,-3416,-872
504,-3416,1672
505,-3400,-3016
506,-3400,3128
507,-3384,1880
508,-3384,5240
509,-3384,4984
510,-3384,4104
511,-3368,-2936
512,-3368,-4392
513,-3368,536
514,-3368,1912
515,-3368,3000
516,-3368,3128
517,-3352,-616
518,-3352,-2136
519,-3352,-4952
520,-3352,1656
521,-3352,4904
522,-3352,2856
523,-3336,-200
524,-3336,-3944
525,-3336,-5320
526,-3320,-3304
527,-3320,-4280
528,-3320,1032
529,-3304,-2984
530,-3288,-4584
531,-3272,-4296
532,-3272,4536
533,-3256,-2824
534,-3256,-4888
535,-3256,-5128
536,-3256,264
537,-3240,-5784
538,-3240,2568
539,-3224,-4264
540,-3224,760
541,-3224,5704
542,-3208,-424
543,-3208,4888
544,-3208,2936
545,-3192,-3352
546,-3192,3944
547,-3176,-2360
548,-3176,-2968
549,-3176,5592
550,-3160,5768
551,-3144,-520
552,-3144,-5384
553,-3144,5832
554,-3128,-2680
555,-3128,-5224
556,-3128,1512
557,-3128,2344
558,-3128,2280
559,-3128,4776
560,-3112,-1208
561,-3112,120
562,-3112,2264
563,-3112,4472
564,-3096,-5096
565,-3096,5464
566,-3064,-4440
567,-3064,3128
568,-3048,104
569,-3048,5160
570,-3048,4616
571,-3032,4232
572,-3032,3400
573,-3000,-3976
574,-3000,232
575,-2984,-600
576,-2984,-4424
577,-2984,2856
578,-2968,-1432
579,-2968,-2408
580,-2968,1080
581,-2968,3080
582,-2952,-1880
583,-2952,-4296
584,-2952,696
585,-2936,-3144
586,-2936,-5288
587,-2920,-3928
588,-2920,1784
589,-2904,-3960
590,-2904,5608
591,-2904,3768
592,-2888,-984
593,-2888,-1832
594,-2888,-4968
595,-2888,952
596,-2872,-4824
597,-2872,3064
598,-2856,4712
599,-2840,-1432
600,-2840,-1480
601,-2840,-3080
602,-2840,-3160
603,-2824,-1096
604,-2824,-3640
605,-2824,-5144
606,-2824,-2360
607,-2824,5960
608,-2808,-536
609,-2808,-1064
610,-2808,-1192
611,-2808,-1800
612,-2808,840
613,-2808,1768
614,-2808,4312
615,-2792,-2728
616,-2792,5400
617,-2792,3544
618,-2776,-1144
619,-2776,-2360
620,-2776,664
621,-2776,648
622,-2760,-1784
623,-2760,-5000
624,-2760,-4952
625,-2760,-2328
626,-2744,-2456
627,-2744,4568
628,-2728,-5864
629,-2728,-200
630,-2728,-2008
631,-2728,-4488
632,-2728,904
633,-2728,5512
634,-2696,-3976
635,-2696,1560
636,-2696,2504
637,-2696,2584
638,-2696,2648
639,-2680,-1368
640,-2664,-1048
641,-2664,-2920
642,-2664,-3160
643,-2664,-4072
644,-2664,1384
645,-2648,1144
646,-2648,1320
647,-2632,-1992
648,-2616,-1448
649,-2616,-4344
650,-2616,3896
651,-2616,3896
652,-2600,-2376
653,-2584,424
654,-2568,-4888
655,-2568,-4552
656,-2568,-2248
657,-2568,3064
658,-2552,-5384
659,-2552,-4072
660,-2552,-2712
661,-2552,3864
662,-2536,-3144
663,-2536,-4216
664,-2536,2568
665,-2520,-5640
666,-2504,-3368
667,-2504,-5000
668,-2488,-1368
669,-2488,-1784
670,-2488,-3912
671,-2440,-5816
672,-2440,-232
673,-2440,-744
674,-2440,-3832
675,-2440,5544
676,-2424,-5048
677,-2408,-5880
678,-2408,-3576
679,-2408,-2600
680,-2392,-1960
681,-2392,1976
682,-2376,4936
683,-2376,3848
684,-2360,-520
685,-2360,-4424
686,-2360,4136
687,-2360,3576
688,-2344,-4216
689,-2344,2184
690,-2344,3016
691,-2328,536
692,-2312,-5736
693,-2312,-1144
694,-2312,-2808
695,-2312,1352
696,-2296,-3816
697,-2296,-4328
698,-2296,1128
699,-2296,3176
700,-2296,2648
701,-2280,-1752
702,-2280,-2584
703,-2264,-5048
704,-2264,-4504
705,-2264,4728
706,-2264,4376
707,-2248,-2648
708,-2248,1464
709,-2248,2424
710,-2232,-5480
711,-2232,-3096
712,-2232,-3224
713,-2232,-1880
714,-2232,5800
715,-2216,-3208
716,-2216,1864
717,-2200,-3064
718,-2200,440
719,-2200,1128
720,-2184,-5864
721,-2184,-824
722,-2184,-104
723,-2184,-2840
724,-2184,-4072
725,-2184,5800
726,-2184,4760
727,-2168,-5448
728,-2168,-1416
729,-2168,3400
730,-2152,-5256
731,-2152,3208
732,-2136,-312
733,-2136,-1688
734,-2136,-3592
735,-2120,-2040
736,-2120,-2488
737,-2120,2264
738,-2120,5928
739,-2104,-4152
740,-2104,-3944
741,-2104,4552
742,-2088,-4936
743,-2088,-4344
744,-2072,-4472
745,-2072,5624
746,-2056,-232
747,-2056,4904
748,-2056,3432
749,-2040,-4120
750,-2024,-3464
751,-2024,1704
752,-2024,8
753,-2008,-3064
754,-2008,-3592
755,-2008,4696
756,-2008,504
757,-2008,1896
758,-1992,-424
759,-1992,-1848
760,-1992,3080
761,-1976,-4712
762,-1976,5576
763,-1960,1928
764,-1944,-984
765,-1944,-5976
766,-1944,-3768
767,-1944,2488
768,-1928,4520
769,-1928,2664
770,-1912,-5736
771,-1912,-440
772,-1912,-904
773,-1912,-1160
774,-1912,4280
775,-1912,824
776,-1896,3592
777,-1896,2280
778,-1880,-5528
779,-1880,-328
780,-1880,-1720
781,-1880,-3304
782,-1880,-3880
783,-1880,-2056
784,-1880,1720
785,-1864,-4904
786,-1864,-3992
787,-1864,-2008
788,-1864,1720
789,-1848,-296
790,-1848,4536
791,-1848,4296
792,-1848,1976
793,-1832,1128
794,-1816,4904
795,-1816,4152
796,-1816,776
797,-1800,-1528
798,-1800,-2984
799,-1784,-72
800,-1784,-600
801,-1752,5960
802,-1752,2648
803,-1752,1272
804,-1736,5000
805,-1720,-5752
806,-1720,-5656
807,-1720,-2280
808,-1720,2776
809,-1720,1576
810,-1704,-3272
811,-1688,-1592
812,-1688,-3608
813,-1672,-5176
814,-1672,-4680
815,-1672,2840
816,-1672,2568
817,-1672,504
818,-1672,648
819,-1656,-2888
820,-1656,4760
821,-1656,2728
822,-1656,1160
823,-1640,-312
824,-1640,-5000
825,-1640,3480
826,-1640,936
827,-1624,-696
828,-1624,-2312
829,-1624,1720
830,-1624,2472
831,-1608,-5448
832,-1608,-584
833,-1608,-4456
834,-1608,-2408
835,-1608,5304
836,-1592,5656
837,-1592,3208
838,-1576,-2216
839,-1576,680
840,-1560,-3480
841,-1560,-3272
842,-1560,2488
843,-1544,8
844,-1544,2120
845,-1528,-1288
846,-1528,-3384
847,-1528,-2168
848,-1512,-5864
849,-1496,-5112
850,-1496,-2792
851,-1496,5864
852,-1496,3928
853,-1496,712
854,-1496,2104
855,-1480,-3144
856,-1480,-2136
857,-1480,1176
858,-1464,-136
859,-1464,-1304
860,-1464,3544
861,-1448,5512
862,-1448,1288
863,-1432,-4840
864,-1432,-1912
865,-1432,3608
866,-1432,632
867,-1432,2200
868,-1416,-2824
869,-1416,-1944
870,-1416,2664
871,-1416,1448
872,-1400,-4840
873,-1400,-2872
874,-1400,1144
875,-1384,-5080
876,-1384,3736
877,-1384,808
878,-1384,56
879,-1368,-552
880,-1368,-5864
881,-1368,-4184
882,-1368,-2152
883,-1368,4856
884,-1368,4376
885,-1368,1864
886,-1352,-4344
887,-1352,-3528
888,-1336,-5896
889,-1336,-4008
890,-1336,-3384
891,-1336,-2840
892,-1336,-1976
893,-1336,2872
894,-1336,1288
895,-1320,-5960
896,-1320,-3240
897,-1320,-2616
898,-1320,5256
899,-1320,4248
900,-1320,2968
901,-1304,4984
902,-1304,3432
903,-1288,-5784
904,-1288,-3976
905,-1272,-952
906,-1272,5640
907,-1272,2712
908,-1272,520
909,-1256,4664
910,-1256,1704
911,-1240,5752
912,-1240,104
913,-1224,-1864
914,-1224,4552
915,-1224,3304
916,-1224,2104
917,-1208,-968
918,-1160,-216
919,-1160,-4456
920,-1160,3832
921,-1144,-3800
922,-1144,4520
923,-1128,-1128
924,-1128,5624
925,-1128,3336
926,-1128,2968
927,-1128,328
928,-1112,-5528
929,-1112,-4040
930,-1112,-1288
931,-1112,-2024
932,-1112,4952
933,-1112,5016
934,-1112,4056
935,-1112,3720
936,-1112,1800
937,-1096,-5800
938,-1096,-4568
939,-1096,-760
940,-1096,-1992
941,-1096,-2248
942,-1080,-1608
943,-1080,4840
944,-1080,1944
945,-1080,2104
946,-1064,-5416
947,-1064,-5608
948,-1064,-4168
949,-1064,-296
950,-1048,-4856
951,-1048,4136
952,-1032,-3176
953,-1032,4216
954,-1032,2344
955,-1032,2664
956,-1016,-5704
957,-1016,-1112
958,-1016,2888
959,-1000,-2632
960,-1000,-2184
961,-984,3208
962,-968,-4168
963,-968,-2904
964,-968,-824
965,-968,-1032
966,-968,1096
967,-952,-5528
968,-952,392
969,-952,1720
970,-952,2088
971,-936,-200
972,-936,-120
973,-920,-5768
974,-920,-5160
975,-920,-1160
976,-920,600
977,-920,2296
978,-920,2456
979,-904,-3048
980,-904,-2856
981,-904,5544
982,-904,2872
983,-904,1272
984,-888,-4536
985,-888,168
986,-888,2568
987,-888,2856
988,-872,5336
989,-872,5256
990,-856,-4616
991,-856,-1128
992,-840,-440
993,-840,-1192
994,-840,-1672
995,-840,-1784
996,-840,5240
997,-840,4136
998,-824,-5128
999,-824,2776
1000,-808,3048
1001,-792,-4792
1002,-792,5192
1003,-792,1160
1004,-792,2632
1005,-792,2696
1006,-776,-3240
1007,-776,-2376
1008,-776,4344
1009,-776,264
1010,-760,-280
1011,-760,-1656
1012,-760,-1400
1013,-760,5224
1014,-760,4504
1015,-760,3560
1016,-760,2168
1017,-744,-4776
1018,-744,-2008
1019,-728,-5480
1020,-696,-968
1021,-696,4568
1022,-696,408
1023,-680,-4808
1024,-680,3720
1025,-664,-5864
1026,-664,-3896
1027,-664,2920
1028,-664,808
1029,-648,-4440
1030,-648,-3064
1031,-648,4616
1032,-648,3064
1033,-632,-4248
1034,-632,-1160
1035,-632,-1864
1036,-632,-2440
1037,-616,-5496
1038,-616,-3912
1039,-616,-2696
1040,-616,2392
1041,-600,-4568
1042,-600,-2680
1043,-600,5272
1044,-600,2536
1045,-600,3016
1046,-584,-104
1047,-584,5512
1048,-584,2552
1049,-568,5800
1050,-552,-5384
1051,-552,-1832
1052,-552,-2088
1053,-552,4392
1054,-536,5176
1055,-536,440
1056,-520,-296
1057,-520,-2344
1058,-520,4904
1059,-504,-1064
1060,-504,5112
1061,-504,4760
1062,-504,4344
1063,-504,2776
1064,-488,-5496
1065,-488,-2520
1066,-488,3336
1067,-472,-5944
1068,-472,-2728
1069,-472,2312
1070,-456,-5464
1071,-456,1928
1072,-456,2600
1073,-440,-4248
1074,-440,-3992
1075,-424,-1912
1076,-424,744
1077,-408,-2488
1078,-408,5624
1079,-408,4024
1080,-408,1960
1081,-392,-3432
1082,-392,-952
1083,-360,-2968
1084,-360,-840
1085,-344,-5336
1086,-344,-2376
1087,-344,-2488
1088,-344,5720
1089,-344,4344
1090,-328,5960
1091,-328,5112
1092,-296,-5816
1093,-296,4536
1094,-296,4344
1095,-296,3880
1096,-296,456
1097,-296,2152
1098,-296,3592
1099,-280,-4952
1100,-280,-744
1101,-280,3096
1102,-280,3000
1103,-264,-5432
1104,-264,1688
1105,-264,3480
1106,-264,3576
1107,-248,-3384
1108,-248,5816
1109,-248,4344
1110,-248,3272
1111,-248,2968
1112,-232,5064
1113,-216,-3944
1114,-216,2056
1115,-200,-5816
1116,-200,4680
1117,-200,1816
1118,-184,1848
1119,-168,-2392
1120,-168,616
1121,-152,3800
1122,-152,2344
1123,-120,-3432
1124,-120,-296
1125,-104,1992
1126,-104,3096
1127,-88,5864
1128,-88,5768
1129,-88,5976
1130,-88,872
1131,-88,2760
1132,-72,3800
1133,-72,4264
1134,-56,5944
1135,-56,4488
1136,-56,4328
1137,-40,3736
1138,-24,-2568
1139,-24,4408
1140,-8,-4360
1141,-8,-3320
1142,-8,5656
1143,-8,856
1144,8,-3064
1145,8,-1640
1146,8,3624
1147,24,5496
1148,24,2136
1149,40,-4728
1150,40,4984
1151,40,4648
1152,40,4152
1153,40,2600
1154,56,-2056
1155,56,5320
1156,56,4520
1157,72,-5928
1158,72,-4184
1159,72,-3192
1160,88,1608
1161,104,-5480
1162,104,-1016
1163,104,5720
1164,104,4872
1165,104,4408
1166,104,1704
1167,104,2520
1168,104,3336
1169,120,-3192
1170,120,3880
1171,136,5176
1172,136,1080
1173,152,-3720
1174,168,-4568
1175,184,5944
1176,184,4920
1177,200,-1832
1178,200,4200
1179,200,2120
1180,216,-4680
1181,216,-4552
1182,216,-1336
1183,232,-4968
1184,232,-4104
1185,232,-4024
1186,232,5112
1187,232,1992
1188,248,-3912
1189,248,3624
1190,248,2296
1191,264,-3256
1192,264,4728
1193,264,3400
1194,280,-4376
1195,280,-2264
1196,280,2264
1197,312,-4504
1198,312,-3560
1199,312,4952
1200,328,-3064
1201,344,5928
1202,360,-5032
1203,360,5496
1204,360,5272
1205,376,4248
1206,408,-600
1207,424,-5848
1208,424,-4296
1209,424,2792
1210,440,-2952
1211,440,8
1212,456,-3544
1213,472,-5384
1214,472,-5464
1215,472,4680
1216,472,3512
1217,472,4040
1218,472,2200
1219,472,2808
1220,488,-4392
1221,488,-2072
1222,488,-296
1223,488,5176
1224,488,4680
1225,504,-3896
1226,520,-5432
1227,520,-3416
1228,520,-2216
1229,520,5048
1230,520,4920
1231,536,-5112
1232,536,-5128
1233,552,-2328
1234,552,4712
1235,568,-3672
1236,568,1208
1237,568,1704
1238,584,-1592
1239,584,4232
1240,600,-4056
1241,600,-2616
1242,600,4600
1243,600,4440
1244,600,3992
1245,600,3512
1246,616,-1768
1247,616,1352
1248,616,1768
1249,616,3288
1250,632,-5000
1251,632,-1336
1252,632,5144
1253,632,3960
1254,632,2264
1255,632,3480
1256,648,-2888
1257,648,-2120
1258,648,4264
1259,664,-4520
1260,664,-3464
1261,664,-968
1262,664,2856
1263,680,-600
1264,680,-1800
1265,680,728
1266,696,-2216
1267,712,-4552
1268,712,-392
1269,712,984
1270,728,-4328
1271,728,1688
1272,744,-1656
1273,744,5128
1274,760,-4952
1275,760,-2312
1276,760,5864
1277,760,5000
1278,760,424
1279,760,4264
1280,776,-4984
1281,776,-1432
1282,776,856
1283,792,1976
1284,792,3560
1285,808,1320
1286,808,4232
1287,824,-2024
1288,840,-5496
1289,840,-2760
1290,840,-792
1291,840,5144
1292,856,-3592
1293,856,2168
1294,888,-5816
1295,888,5448
1296,888,4744
1297,904,-2840
1298,904,-152
1299,920,-5240
1300,920,-3480
1301,920,2280
1302,920,3224
1303,936,-5960
1304,936,-4056
1305,936,-2984
1306,936,3768
1307,952,-2200
1308,952,1800
1309,952,2792
1310,968,-1704
1311,968,4936
1312,984,1784
1313,984,3656
1314,1000,-4120
1315,1016,-4936
1316,1016,-5128
1317,1016,-5128
1318,1016,-1080
1319,1016,-2104
1320,1016,328
1321,1032,1432
1322,1048,-5208
1323,1048,-2552
1324,1048,-1432
1325,1048,616
1326,1048,264
1327,1064,-3016
1328,1064,-3288
1329,1064,-1432
1330,1064,-1896
1331,1064,2760
1332,1096,-1928
1333,1096,-2088
1334,1096,1624
1335,1112,-5864
1336,1112,-2360
1337,1112,5016
1338,1128,-3080
1339,1144,-4008
1340,1144,-2712
1341,1144,-1272
1342,1144,2920
1343,1160,-4504
1344,1160,1432
1345,1160,3336
1346,1160,3384
1347,1160,3816
1348,1176,-4872
1349,1176,-2456
1350,1176,-936
1351,1176,824
1352,1176,3816
1353,1176,5592
1354,1192,1960
1355,1208,4296
1356,1208,5656
1357,1224,984
1358,1240,-5320
1359,1240,-2808
1360,1256,1288
1361,1256,1496
1362,1256,2344
1363,1272,-5800
1364,1272,-4024
1365,1272,-2376
1366,1288,968
1367,1288,1768
1368,1304,-1368
1369,1304,-424
1370,1304,1688
1371,1320,-4312
1372,1320,-1320
1373,1320,-408
1374,1320,3192
1375,1320,5560
1376,1336,-2808
1377,1336,-2424
1378,1336,4808
1379,1352,-2856
1380,1352,-248
1381,1352,4024
1382,1352,5912
1383,1368,-5224
1384,1368,-3560
1385,1384,5112
1386,1400,-168
1387,1400,5960
1388,1416,-1416
1389,1432,-2424
1390,1432,-264
1391,1432,2456
1392,1432,4360
1393,1448,-2840
1394,1448,1464
1395,1464,-4392
1396,1464,-2824
1397,1464,1032
1398,1464,4536
1399,1480,-3528
1400,1480,-3608
1401,1480,-3224
1402,1480,152
1403,1480,5064
1404,1496,-2056
1405,1496,5304
1406,1512,-984
1407,1512,328
1408,1512,3608
1409,1512,5368
1410,1528,-4488
1411,1528,4648
1412,1528,1704
1413,1528,2024
1414,1544,-5464
1415,1544,2184
1416,1576,4232
1417,1576,5224
1418,1592,-3816
1419,1592,248
1420,1608,-5640
1421,1608,-2968
1422,1608,360
1423,1624,-2744
1424,1624,-984
1425,1624,2184
1426,1624,3432
1427,1624,4872
1428,1624,5480
1429,1640,-3688
1430,1640,-1576
1431,1656,-4504
1432,1656,-2072
1433,1656,120
1434,1656,5160
1435,1672,-2712
1436,1672,1096
1437,1672,4888
1438,1672,5176
1439,1688,-5768
1440,1688,-1816
1441,1688,-664
1442,1688,1864
1443,1704,-3704
1444,1704,-4104
1445,1704,-5704
1446,1704,4696
1447,1720,-3048
1448,1736,-2760
1449,1736,-1208
1450,1736,2296
1451,1752,-2392
1452,1752,-520
1453,1752,3256
1454,1768,3832
1455,1784,-2568
1456,1784,-1544
1457,1784,56
1458,1784,1752
1459,1784,2568
1460,1800,-5000
1461,1800,-1272
1462,1800,3368
1463,1816,-3768
1464,1816,-4440
1465,1816,-2840
1466,1816,1080
1467,1816,2792
1468,1832,-5368
1469,1832,-3016
1470,1832,-344
1471,1848,-4344
1472,1848,5304
1473,1864,-4520
1474,1864,-1880
1475,1864,-1960
1476,1864,312
1477,1864,552
1478,1880,-4712
1479,1880,-5144
1480,1880,-5720
1481,1880,-1464
1482,1880,3432
1483,1880,4104
1484,1896,-1000
1485,1912,-4200
1486,1912,-4648
1487,1912,-2328
1488,1912,5112
1489,1928,-3240
1490,1928,8
1491,1944,-3784
1492,1944,3752
1493,1944,5048
1494,1944,4824
1495,1960,-3384
1496,1960,3848
1497,1960,4792
1498,1976,280
1499,1976,3480
1500,1976,3688
1501,1976,4888
1502,1992,-1144
1503,1992,-1464
1504,1992,2248
1505,1992,3304
1506,1992,4728
1507,2008,-2600
1508,2008,-2568
1509,2008,-1224
1510,2008,1848
1511,2008,4184
1512,2008,5608
